"1 Ancient Tomb 1 Barbarian Ring 1 Bojuka Bog 4 Crop Rotation 1 Crucible of Worlds 4 Dark Depths 1 Drop of Honey 4 Exploration 1 Forest 4 Gamble 1 Glacial Chasm 3 Grove of the Burnwillows 1 Horizon Canopy 1 Karakas 3 Krosan Grip 4 Life from the Loam 1 Manabond 3 Maze of Ith 1 Molten Vortex 4 Mox Diamond 1 Pithing Needle 3 Punishing Fire 4 Rishadan Port 1 Sheltered Thicket 4 Sphere of Resistance 1 Surgical Extraction 2 Taiga 1 The Tabernacle at Pendrell Vale 4 Thespian's Stage 2 Tireless Tracker 1 Tranquil Thicket 1 Trinisphere 1 Verdant Catacombs 4 Wasteland 1 Wooded Foothills"
"1 All Is Dust 4 Ancient Tomb 4 Cavern of Souls 4 Chalice of the Void 3 City of Traitors 2 Dismember 4 Eldrazi Mimic 4 Eldrazi Temple 2 Endbringer 4 Endless One 3 Eye of Ugin 1 Karakas 1 Karakas 4 Leyline of the Void 4 Matter Reshaper 2 Mishra's Factory 2 Oblivion Sower 2 Ratchet Bomb 4 Reality Smasher 3 Simian Spirit Guide 3 Thorn of Amethyst 4 Thought-Knot Seer 2 Umezawa's Jitte 1 Urborg, Tomb of Yawgmoth 2 Walking Ballista 2 Warping Wail 3 Wasteland"
"1 All Is Dust 4 Ancient Tomb 1 Blightsteel Colossus 4 Cavern of Souls 4 Chalice of the Void 4 City of Traitors 4 Cloudpost 1 Crucible of Worlds 2 Defense Grid 1 Duplicant 2 Ensnaring Bridge 4 Glimmerpost 4 Grim Monolith 1 Inventors' Fair 4 Kuldotha Forgemaster 2 Lightning Greaves 4 Lodestone Golem 4 Metalworker 1 Phyrexian Revoker 1 Pithing Needle 1 Platinum Emperion 2 Ratchet Bomb 1 Spine of Ish Sah 1 Staff of Nin 1 Steel Hellkite 1 Sundering Titan 2 Tormod's Crypt 1 Torpor Orb 3 Trinisphere 1 Ugin, the Spirit Dragon 1 Walking Ballista 4 Wasteland 1 Witchbane Orb 2 Wurmcoil Engine"
"1 Abrade 1 Abrupt Decay 1 Abrupt Decay 1 Badlands 3 Baleful Strix 4 Brainstorm 1 Counterspell 4 Deathrite Shaman 1 Diabolic Edict 1 Diabolic Edict 2 Fatal Push 2 Flusterstorm 4 Force of Will 1 Golgari Charm 2 Hydroblast 2 Hymn to Tourach 1 Hymn to Tourach 1 Island 2 Jace, the Mind Sculptor 1 Kess, Dissident Mage 2 Kolaghan's Command 2 Leovold, Emissary of Trest 1 Lightning Bolt 1 Night's Whisper 1 Nihil Spellbomb 4 Polluted Delta 4 Ponder 2 Pyroblast 1 Red Elemental Blast 4 Scalding Tarn 3 Snapcaster Mage 2 Surgical Extraction 1 Swamp 2 Thoughtseize 1 Toxic Deluge 2 Tropical Island 3 Underground Sea 1 Verdant Catacombs 2 Volcanic Island 1 Wasteland"
"2 Abrupt Decay 1 Abrupt Decay 4 Baleful Strix 2 Bayou 1 Blue Elemental Blast 4 Brainstorm 4 Deathrite Shaman 1 Diabolic Edict 1 Eternal Scourge 2 Flusterstorm 4 Food Chain 4 Force of Will 1 Forest 1 Golgari Charm 1 Grafdigger's Cage 1 Hydroblast 2 Island 2 Leovold, Emissary of Trest 3 Manipulate Fate 1 Misdirection 3 Misthollow Griffin 4 Misty Rainforest 1 Pithing Needle 4 Polluted Delta 3 Ponder 2 Surgical Extraction 1 Swamp 2 Thoughtseize 1 Toxic Deluge 2 Trinket Mage 2 Tropical Island 2 Underground Sea 3 Verdant Catacombs 3 Walking Ballista"
"3 Abrupt Decay 3 Baleful Strix 1 Bayou 2 Breeding Pool 2 Cabal Therapy 4 Coiling Oracle 1 Craterhoof Behemoth 4 Deathrite Shaman 2 Dryad Arbor 2 Duress 4 Elvish Visionary 1 Forest 3 Gaea's Cradle 2 Garruk Wildspeaker 3 Green Sun's Zenith 2 Llanowar Elves 2 Marsh Casualties 4 Misty Rainforest 3 Natural Order 4 Noble Hierarch 3 Opposition 2 Overgrown Tomb 1 Polluted Delta 1 Progenitus 1 Relic of Progenitus 3 Shardless Agent 1 Surgical Extraction 1 Thoughtseize 1 Tropical Island 1 Underground Sea 3 Verdant Catacombs 3 Winter Orb 2 Wirewood Symbiote"
"3 Abrupt Decay 2 Bayou 1 Birchlore Rangers 2 Cabal Therapy 1 Cavern of Souls 2 Choke 2 Craterhoof Behemoth 1 Crop Rotation 4 Deathrite Shaman 2 Dryad Arbor 4 Elvish Visionary 2 Forest 4 Gaea's Cradle 4 Glimpse of Nature 4 Green Sun's Zenith 4 Heritage Druid 1 Karakas 2 Misty Rainforest 3 Natural Order 4 Nettle Sentinel 1 Nissa, Vital Force 1 Nissa, Vital Force 1 Null Rod 1 Pendelhaven 4 Quirion Ranger 1 Reclamation Sage 1 Scavenging Ooze 2 Surgical Extraction 2 Thoughtseize 2 Verdant Catacombs 2 Windswept Heath 4 Wirewood Symbiote 2 Wooded Foothills"
"1 Bayou 3 Bitterblossom 1 Bloodstained Mire 4 Brainstorm 2 Cavern of Souls 3 Chill 3 Dark Confidant 4 Daze 4 Deathrite Shaman 4 Delver of Secrets 2 Diabolic Edict 3 Ensnaring Bridge 2 Fatal Push 4 Force of Will 2 Grafdigger's Cage 2 Inquisition of Kozilek 3 Island 4 Leyline of the Void 3 Mutavault 4 Polluted Delta 2 Relic of Progenitus 4 Spellstutter Sprite 1 Swamp 2 Thoughtseize 1 Toxic Deluge 1 Umezawa's Jitte 3 Underground Sea 3 Wasteland"
"1 Abrade 4 Ancient Tomb 4 Blood Moon 3 Blood Sun 1 Boil 4 Chalice of the Void 1 Chandra, Torch of Defiance 4 City of Traitors 1 Combustible Gearhulk 1 Crystal Vein 2 Emrakul, the Aeons Torn 2 Faerie Macabre 2 Fiery Confluence 3 Griselbrand 3 Inferno Titan 2 Kozilek's Return 4 Lotus Petal 2 Magus of the Moon 10 Mountain 3 Seething Song 4 Simian Spirit Guide 4 Sneak Attack 1 Sorcerous Spyglass 4 Through the Breach 3 Trinisphere 2 Worldspine Wurm"
"1 Abrade 4 Ancient Tomb 4 Blood Moon 3 Blood Sun 1 Boil 4 Chalice of the Void 1 Chandra, Torch of Defiance 4 City of Traitors 1 Combustible Gearhulk 1 Crystal Vein 2 Emrakul, the Aeons Torn 2 Faerie Macabre 2 Fiery Confluence 3 Griselbrand 3 Inferno Titan 2 Kozilek's Return 4 Lotus Petal 2 Magus of the Moon 10 Mountain 3 Seething Song 4 Simian Spirit Guide 4 Sneak Attack 1 Sorcerous Spyglass 4 Through the Breach 3 Trinisphere 2 Worldspine Wurm"
"2 Abrupt Decay 1 Baleful Strix 2 Bayou 4 Brainstorm 4 Daze 4 Deathrite Shaman 4 Delver of Secrets 2 Diabolic Edict 1 Dismember 2 Fatal Push 1 Flusterstorm 4 Force of Will 1 Golgari Charm 4 Hymn to Tourach 1 Jace, the Mind Sculptor 1 Leovold, Emissary of Trest 1 Liliana of the Veil 1 Liliana, the Last Hope 1 Marsh Casualties 3 Misty Rainforest 3 Polluted Delta 4 Ponder 2 Surgical Extraction 1 Sylvan Library 3 Tarmogoyf 2 Thoughtseize 1 Tombstalker 1 Tropical Island 2 True-Name Nemesis 1 Umezawa's Jitte 4 Underground Sea 3 Verdant Catacombs 4 Wasteland"
"4 Abrupt Decay 2 Bayou 1 Birchlore Rangers 3 Cabal Therapy 1 Caller of the Claw 1 Cavern of Souls 2 Craterhoof Behemoth 4 Deathrite Shaman 2 Dryad Arbor 4 Elvish Visionary 2 Forest 4 Gaea's Cradle 4 Glimpse of Nature 4 Green Sun's Zenith 4 Heritage Druid 2 Misty Rainforest 3 Natural Order 4 Nettle Sentinel 1 Nissa, Vital Force 1 Nissa, Vital Force 1 Pendelhaven 4 Quirion Ranger 1 Reclamation Sage 1 Scavenging Ooze 3 Surgical Extraction 3 Thoughtseize 2 Verdant Catacombs 2 Windswept Heath 4 Wirewood Symbiote 2 Wooded Foothills"
"2 Ancient Tomb 2 Arid Mesa 1 Blood Moon 4 Brainstorm 2 Counterspell 1 Detention Sphere 3 Energy Field 2 Engineered Explosives 2 Enlightened Tutor 4 Flooded Strand 2 Flusterstorm 4 Force of Will 2 Helm of Obedience 1 Humility 4 Island 2 Jace, the Mind Sculptor 1 Karakas 1 Keranos, God of Storms 1 Kozilek's Return 3 Leyline of Sanctity 3 Monastery Mentor 2 Plains 4 Ponder 2 Pyroblast 1 Red Elemental Blast 4 Rest in Peace 2 Scalding Tarn 1 Seal of Cleansing 1 Seat of the Synod 2 Spell Pierce 1 Supreme Verdict 3 Swords to Plowshares 1 Swords to Plowshares 2 Tundra 2 Volcanic Island"
"3 Abrupt Decay 4 Baleful Strix 1 Bayou 4 Brainstorm 1 Collective Brutality 4 Deathrite Shaman 2 Diabolic Edict 1 Emrakul, the Aeons Torn 1 Eternal Scourge 3 Faerie Macabre 2 Fierce Empath 4 Food Chain 4 Force of Will 1 Forest 2 Golgari Charm 2 Gurmag Angler 4 Hymn to Tourach 2 Island 3 Leovold, Emissary of Trest 3 Manipulate Fate 3 Mindbreak Trap 2 Misthollow Griffin 4 Misty Rainforest 4 Polluted Delta 3 Ponder 1 Swamp 1 Sylvan Library 1 Tropical Island 2 Underground Sea 3 Verdant Catacombs"
"1 Arid Mesa 1 Back to Basics 4 Brainstorm 1 Containment Priest 1 Council's Judgment 2 Counterbalance 2 Counterspell 2 Disenchant 1 Engineered Explosives 1 Entreat the Angels 4 Flooded Strand 3 Flusterstorm 4 Force of Will 1 From the Ashes 5 Island 3 Jace, the Mind Sculptor 1 Kozilek's Return 2 Monastery Mentor 1 Mountain 3 Plains 4 Ponder 2 Portent 1 Predict 1 Pyroblast 2 Pyroblast 1 Red Elemental Blast 1 Rest in Peace 3 Scalding Tarn 1 Search for Azcanta 3 Snapcaster Mage 2 Surgical Extraction 4 Swords to Plowshares 4 Terminus 2 Tundra 1 Volcanic Island"
"3 Abrupt Decay 2 Aluren 4 Baleful Strix 2 Bayou 2 Beast Within 4 Brainstorm 1 Carpet of Flowers 3 Cavern Harpy 4 Deathrite Shaman 4 Force of Will 1 Forest 1 Gilded Drake 2 Hydroblast 1 Hymn to Tourach 1 Island 2 Jace, Vryn's Prodigy 3 Leovold, Emissary of Trest 1 Liliana, the Last Hope 2 Mindbreak Trap 4 Misty Rainforest 4 Polluted Delta 4 Ponder 4 Shardless Agent 1 Swamp 1 Tablet of the Guilds 2 Tarmogoyf 2 Tormod's Crypt 1 Toxic Deluge 2 Tropical Island 2 Underground Sea 1 Vendilion Clique 1 Vengeful Rebel 2 Verdant Catacombs"
"1 Abrade 4 Ancient Tomb 4 Blood Moon 3 Blood Sun 1 Boil 4 Chalice of the Void 3 City of Traitors 1 Combustible Gearhulk 2 Crystal Vein 2 Emrakul, the Aeons Torn 2 Faerie Macabre 2 Fiery Confluence 3 Griselbrand 3 Inferno Titan 2 Kozilek's Return 4 Lotus Petal 2 Magus of the Moon 10 Mountain 3 Seething Song 1 Shattering Spree 4 Simian Spirit Guide 4 Sneak Attack 1 Sorcerous Spyglass 4 Through the Breach 3 Trinisphere 2 Worldspine Wurm"
"4 Abrupt Decay 3 Badlands 3 Bayou 3 Bloodbraid Elf 4 Bloodstained Mire 1 Chains of Mephistopheles 2 Choke 4 Dark Confidant 4 Deathrite Shaman 1 Duress 2 Engineered Plague 2 Fatal Push 1 Forest 1 Golgari Charm 2 Grim Flayer 3 Hymn to Tourach 2 Kolaghan's Command 2 Lightning Bolt 4 Liliana of the Veil 2 Red Elemental Blast 4 Surgical Extraction 1 Swamp 1 Sylvan Library 1 Taiga 4 Tarmogoyf 3 Thoughtseize 1 Toxic Deluge 4 Verdant Catacombs 4 Wasteland 2 Wooded Foothills"
"1 Baleful Strix 4 Brainstorm 4 Daze 4 Death's Shadow 4 Delver of Secrets 1 Diabolic Edict 1 Dismember 2 Dread of Night 1 Engineered Explosives 2 Fatal Push 4 Flooded Strand 2 Flusterstorm 4 Force of Will 4 Gitaxian Probe 3 Gurmag Angler 1 Hydroblast 1 Hymn to Tourach 1 Liliana, the Last Hope 1 Marsh Casualties 4 Polluted Delta 2 Ponder 1 Scalding Tarn 2 Spell Pierce 1 Spellskite 3 Stifle 4 Street Wraith 1 Surgical Extraction 1 Thoughtseize 1 Thoughtseize 1 Tormod's Crypt 1 Underground Sea 4 Wasteland 4 Watery Grave"
"1 Batterskull 1 Bayou 2 Council's Judgment 4 Dark Confidant 4 Deathrite Shaman 1 Diabolic Edict 1 Disenchant 1 Ethersworn Canonist 1 Fatal Push 1 Gaddock Teeg 1 Gideon of the Trials 1 Gideon, Ally of Zendikar 1 Horizon Canopy 2 Hymn to Tourach 1 Karakas 1 Kaya, Ghost Assassin 3 Liliana of the Veil 1 Liliana, the Last Hope 2 Lingering Souls 4 Marsh Flats 1 Pithing Needle 2 Plains 3 Scrubland 4 Stoneforge Mystic 3 Surgical Extraction 4 Swamp 1 Sword of Fire and Ice 4 Swords to Plowshares 2 Thalia, Guardian of Thraben 4 Thoughtseize 3 Tidehollow Sculler 1 Tormod's Crypt 1 Toxic Deluge 1 Umezawa's Jitte 3 Verdant Catacombs 2 Wasteland 1 Windswept Heath 1 Zealous Persecution"
"2 Abrupt Decay 1 Badlands 4 Baleful Strix 1 Bayou 2 Bloodstained Mire 1 Blue Elemental Blast 4 Brainstorm 4 Deathrite Shaman 2 Diabolic Edict 1 Fatal Push 2 Flusterstorm 4 Force of Will 3 Hymn to Tourach 2 Jace, the Mind Sculptor 2 Kolaghan's Command 2 Leovold, Emissary of Trest 1 Life from the Loam 2 Lightning Bolt 1 Liliana, the Last Hope 2 Marsh Casualties 1 Nihil Spellbomb 4 Polluted Delta 4 Ponder 1 Pyroblast 1 Red Elemental Blast 4 Scalding Tarn 3 Snapcaster Mage 1 Spell Pierce 2 Surgical Extraction 1 Sylvan Library 1 Thoughtseize 1 Tropical Island 1 True-Name Nemesis 3 Underground Sea 2 Volcanic Island 2 Wasteland"
"2 Abrade 4 Ancient Tomb 4 Blood Moon 2 Boil 4 Chalice of the Void 1 Chandra, Flamecaller 2 Chandra, Pyromaster 4 Chandra, Torch of Defiance 1 Chaos Warp 4 Chrome Mox 4 City of Traitors 4 Ensnaring Bridge 4 Fiery Confluence 2 Kozilek's Return 4 Leyline of the Void 3 Magus of the Moon 11 Mountain 2 Rolling Earthquake 4 Simian Spirit Guide 2 Sorcerous Spyglass 1 Sulfur Elemental 3 Trinisphere 1 Trinisphere 2 Volcanic Fallout"
"4 Aether Vial 1 Batterskull 1 Brimaz, King of Oreskos 2 Cavern of Souls 1 Containment Priest 2 Council's Judgment 1 Enlightened Tutor 2 Ethersworn Canonist 3 Flickerwisp 2 Gideon, Ally of Zendikar 3 Karakas 1 Manriki-Gusari 3 Mirran Crusader 4 Mother of Runes 1 Palace Jailer 2 Path to Exile 2 Phyrexian Revoker 1 Pithing Needle 10 Plains 2 Recruiter of the Guard 2 Rest in Peace 4 Rishadan Port 1 Sanctum Prelate 1 Sanctum Prelate 4 Stoneforge Mystic 1 Sword of Fire and Ice 4 Swords to Plowshares 4 Thalia, Guardian of Thraben 1 Thalia, Heretic Cathar 1 Umezawa's Jitte 4 Wasteland"
"1 Aether Spellbomb 2 Auriok Salvagers 4 Brainstorm 2 Cavern of Souls 2 Containment Priest 2 Disenchant 1 Engineered Explosives 1 Ethersworn Canonist 1 Fatal Push 4 Flooded Strand 1 Flusterstorm 4 Force of Will 2 Island 2 Jace, the Mind Sculptor 1 Karakas 1 Lion's Eye Diamond 1 Marsh Flats 1 Meddling Mage 1 Meekstone 2 Monastery Mentor 1 Nihil Spellbomb 1 Pithing Needle 1 Plains 4 Polluted Delta 4 Ponder 1 Scrubland 2 Search for Azcanta 1 Spell Pierce 1 Surgical Extraction 1 Swamp 4 Swords to Plowshares 1 Tasigur, the Golden Fang 4 Thoughtseize 1 Tormod's Crypt 1 Toxic Deluge 4 Trinket Mage 2 Tundra 3 Underground Sea 1 Walking Ballista 1 Walking Ballista"
"3 Abrupt Decay 2 Bayou 1 Birchlore Rangers 3 Cabal Therapy 1 Cavern of Souls 2 Choke 2 Craterhoof Behemoth 1 Crop Rotation 4 Deathrite Shaman 2 Dryad Arbor 4 Elvish Visionary 2 Forest 4 Gaea's Cradle 4 Glimpse of Nature 4 Green Sun's Zenith 4 Heritage Druid 1 Karakas 4 Misty Rainforest 3 Natural Order 3 Nettle Sentinel 2 Nissa, Vital Force 1 Pendelhaven 1 Pithing Needle 4 Quirion Ranger 1 Reclamation Sage 1 Scavenging Ooze 2 Surgical Extraction 2 Thoughtseize 3 Verdant Catacombs 1 Windswept Heath 4 Wirewood Symbiote"
"2 Abrupt Decay 3 Bayou 1 Bojuka Bog 4 Crop Rotation 4 Dark Depths 3 Duress 4 Elvish Spirit Guide 1 Expedition Map 1 Ghost Quarter 1 Grafdigger's Cage 1 Inquisition of Kozilek 2 Into the North 1 Karakas 1 Krosan Grip 4 Lotus Petal 2 Massacre 1 Mindbreak Trap 3 Pithing Needle 2 Relic of Progenitus 1 Sejiri Steppe 1 Snow-Covered Forest 1 Snow-Covered Swamp 2 Sphere of Resistance 2 Surgical Extraction 1 Sylvan Library 2 Sylvan Safekeeper 4 Sylvan Scrying 1 The Tabernacle at Pendrell Vale 4 Thespian's Stage 4 Thoughtseize 4 Urborg, Tomb of Yawgmoth 4 Vampire Hexmage 2 Verdant Catacombs 1 Wooded Foothills"
"2 Abrupt Decay 3 Bayou 1 Bojuka Bog 4 Crop Rotation 2 Dark Confidant 4 Dark Depths 4 Duress 4 Elvish Spirit Guide 1 Expedition Map 1 Ghost Quarter 1 Ground Seal 1 Into the North 1 Karakas 1 Krosan Grip 4 Lotus Petal 1 Mishra's Factory 3 Pithing Needle 1 Pithing Needle 1 Rite of Consumption 1 Sejiri Steppe 1 Snow-Covered Forest 1 Snow-Covered Swamp 2 Sphere of Resistance 3 Surgical Extraction 1 Sylvan Library 3 Sylvan Safekeeper 4 Sylvan Scrying 4 Thespian's Stage 4 Thoughtseize 3 Urborg, Tomb of Yawgmoth 4 Vampire Hexmage 4 Verdant Catacombs"
"2 Arid Mesa 1 Blood Moon 4 Brainstorm 1 Containment Priest 2 Counterbalance 2 Counterspell 1 Disenchant 1 Engineered Explosives 2 Entreat the Angels 4 Flooded Strand 1 Flusterstorm 2 Flusterstorm 4 Force of Will 4 Island 3 Jace, the Mind Sculptor 1 Keranos, God of Storms 1 Kozilek's Return 2 Monastery Mentor 2 Plains 3 Polluted Delta 4 Ponder 3 Predict 2 Pyroblast 1 Red Elemental Blast 2 Search for Azcanta 4 Snapcaster Mage 2 Surgical Extraction 4 Swords to Plowshares 4 Terminus 3 Tundra 1 Unexpectedly Absent 2 Volcanic Island"
"2 Abrupt Decay 1 Batterskull 1 Bayou 1 Birds of Paradise 1 Dark Depths 4 Deathrite Shaman 1 Dryad Arbor 1 Forest 1 Gaddock Teeg 1 Gaddock Teeg 4 Green Sun's Zenith 1 Horizon Canopy 1 Karakas 4 Knight of the Reliquary 1 Leovold, Emissary of Trest 4 Mother of Runes 1 Plains 1 Qasali Pridemage 1 Qasali Pridemage 2 Sanctum Prelate 2 Savannah 1 Scavenging Ooze 1 Scavenging Ooze 1 Scrubland 1 Scryb Ranger 3 Stoneforge Mystic 2 Surgical Extraction 1 Sword of Fire and Ice 4 Swords to Plowshares 1 Sylvan Library 3 Thalia, Guardian of Thraben 1 Thespian's Stage 2 Thoughtseize 2 Toxic Deluge 1 Tropical Island 1 Umezawa's Jitte 4 Verdant Catacombs 4 Wasteland 4 Windswept Heath 2 Zealous Persecution"
