"3 Abrade 1 Aethersphere Harvester 1 Angrath, the Flame-Chained 4 Bomat Courier 4 Canyon Slough 2 Chandra, Torch of Defiance 1 Chandra, Torch of Defiance 1 Cut/Ribbons 1 Doomfall 4 Dragonskull Summit 3 Duress 1 Glorybringer 2 Glorybringer 4 Goblin Chainwhirler 3 Heart of Kiran 1 Hour of Glory 3 Inventor's Apprentice 2 Karn, Scion of Urza 2 Magma Spray 11 Mountain 1 Mountain 2 Pia Nalaar 4 Scrapheap Scrounger 2 Siege-Gang Commander 4 Spire of Industry 1 Swamp 4 Unlicensed Disintegration 3 Walking Ballista"
"4 Abrade 1 Aether Hub 1 Angrath, the Flame-Chained 4 Canyon Slough 2 Chandra's Defeat 2 Chandra, Torch of Defiance 1 Chandra, Torch of Defiance 2 Cinder Barrens 1 Cut/Ribbons 1 Doomfall 4 Dragonskull Summit 3 Duress 1 Fiery Cannonade 2 Glorybringer 1 Glorybringer 4 Goblin Chainwhirler 3 Heart of Kiran 1 Heartless Pillage 2 Karn, Scion of Urza 1 Karn, Scion of Urza 2 Magma Spray 11 Mountain 2 Pia Nalaar 2 Rekindling Phoenix 1 Release the Gremlins 4 Scrapheap Scrounger 3 Soul-Scar Mage 2 Spire of Industry 1 Swamp 3 Unlicensed Disintegration 1 Vraska's Contempt 2 Walking Ballista"
"4 Aether Hub 1 Aethersphere Harvester 1 Arguel's Blood Fast 1 Arguel's Blood Fast 2 Cast Down 3 Champion of Wits 2 Deadeye Tracker 2 Doomfall 4 Drowned Catacomb 3 Duress 4 Fatal Push 4 Fetid Pools 2 Field of Ruin 2 Forsake the Worldly 4 Gifted Aetherborn 4 Glint-Sleeve Siphoner 3 Irrigated Farmland 2 Island 2 Karn, Scion of Urza 1 Liliana, Death's Majesty 3 Negate 3 Ravenous Chupacabra 7 Swamp 2 Teferi, Hero of Dominaria 3 The Scarab God 2 Vraska's Contempt 2 Vraska's Contempt 2 Walking Ballista"
"1 Arguel's Blood Fast 4 Blooming Marsh 2 Deadeye Tracker 2 Doomfall 3 Duress 2 Fatal Push 2 Fatal Push 7 Forest 2 Foul Orchard 2 Golden Demise 4 Jadelight Ranger 3 Karn, Scion of Urza 4 Llanowar Elves 4 Merfolk Branchwalker 2 Rishkar, Peema Renegade 4 Swamp 3 Thrashing Brontodon 3 Treasure Map 2 Verdurous Gearhulk 4 Vraska's Contempt 3 Vraska, Relic Seeker 4 Walking Ballista 4 Winding Constrictor 4 Woodland Cemetery"
"2 Abrade 2 Abrade 2 Aethersphere Harvester 2 Angrath, the Flame-Chained 1 Arguel's Blood Fast 4 Bomat Courier 4 Canyon Slough 3 Chandra, Torch of Defiance 2 Cut/Ribbons 2 Doomfall 4 Dragonskull Summit 1 Duress 1 Fatal Push 2 Glorybringer 1 Glorybringer 4 Goblin Chainwhirler 4 Heart of Kiran 2 Karn, Scion of Urza 11 Mountain 2 Pia Nalaar 2 Release the Gremlins 1 Scavenger Grounds 4 Scrapheap Scrounger 4 Spire of Industry 1 Swamp 4 Unlicensed Disintegration 3 Walking Ballista"
"3 Abrade 1 Aether Hub 2 Aethersphere Harvester 4 Bomat Courier 4 Canyon Slough 2 Chandra, Torch of Defiance 1 Chandra, Torch of Defiance 1 Cut/Ribbons 1 Cut/Ribbons 2 Doomfall 4 Dragonskull Summit 2 Duress 2 Glorybringer 4 Goblin Chainwhirler 3 Heart of Kiran 1 Hour of Glory 4 Inventor's Apprentice 2 Karn, Scion of Urza 11 Mountain 2 Pia Nalaar 2 Rekindling Phoenix 1 Release the Gremlins 4 Scrapheap Scrounger 4 Spire of Industry 1 Treasure Map 4 Unlicensed Disintegration 3 Walking Ballista"
"4 Adventurous Impulse 4 Aether Hub 1 Arguel's Blood Fast 4 Blooming Marsh 1 Blossoming Defense 1 Cast Down 3 Deathgorge Scavenger 3 Duress 1 Fatal Push 1 Fatal Push 6 Forest 4 Glint-Sleeve Siphoner 1 Gonti, Lord of Luxury 2 Ifnir Deadlands 2 Lifecrafter's Bestiary 1 Liliana, Death's Majesty 4 Llanowar Elves 1 Nissa, Vital Force 3 Ravenous Chupacabra 2 Rishkar, Peema Renegade 3 Swamp 4 Thrashing Brontodon 3 Verdurous Gearhulk 2 Vraska's Contempt 1 Vraska, Relic Seeker 1 Vraska, Relic Seeker 4 Walking Ballista 4 Winding Constrictor 4 Woodland Cemetery"
"3 Abrade 1 Abrade 1 Aether Hub 2 Arguel's Blood Fast 4 Canyon Slough 2 Chandra, Torch of Defiance 1 Chandra, Torch of Defiance 2 Cut/Ribbons 2 Doomfall 4 Dragonskull Summit 4 Duress 2 Glorybringer 1 Glorybringer 4 Goblin Chainwhirler 3 Heart of Kiran 3 Magma Spray 13 Mountain 2 Pia Nalaar 1 Pia Nalaar 4 Rekindling Phoenix 1 Release the Gremlins 4 Scrapheap Scrounger 3 Spire of Industry 4 Unlicensed Disintegration 4 Walking Ballista"
"3 Abrade 1 Abrade 1 Aether Hub 1 Aethersphere Harvester 4 Bomat Courier 4 Canyon Slough 1 Chandra's Defeat 2 Chandra, Torch of Defiance 1 Chandra, Torch of Defiance 1 Cut/Ribbons 2 Doomfall 4 Dragonskull Summit 2 Duress 1 Glorybringer 2 Glorybringer 4 Goblin Chainwhirler 3 Heart of Kiran 1 Hour of Glory 2 Karn, Scion of Urza 1 Karn, Scion of Urza 11 Mountain 1 Mountain 2 Pia Nalaar 4 Scrapheap Scrounger 3 Soul-Scar Mage 4 Spire of Industry 1 The Eldest Reborn 1 Treasure Map 4 Unlicensed Disintegration 3 Walking Ballista"
"1 Aether Meltdown 1 Authority of the Consuls 3 Blink of an Eye 3 Cast Out 1 Commit/Memory 4 Disallow 3 Essence Scatter 2 Field of Ruin 2 Fumigate 1 Fumigate 1 Gideon of the Trials 1 Gideon of the Trials 4 Glacial Fortress 4 History of Benalia 2 Invoke the Divine 4 Irrigated Farmland 6 Island 3 Meandering River 1 Memorial to Genius 3 Negate 7 Plains 2 Pull from Tomorrow 3 Seal Away 2 Search for Azcanta 3 Settle the Wreckage 2 Sorcerous Spyglass 2 Syncopate 4 Teferi, Hero of Dominaria"
"2 Abrade 2 Abrade 1 Aether Hub 2 Aethersphere Harvester 1 Angrath, the Flame-Chained 4 Bomat Courier 4 Canyon Slough 2 Chandra, Torch of Defiance 1 Chandra, Torch of Defiance 2 Cut/Ribbons 1 Doomfall 4 Dragonskull Summit 2 Glorybringer 4 Goblin Chainwhirler 3 Heart of Kiran 1 Heartless Pillage 1 Hour of Glory 2 Karn, Scion of Urza 2 Magma Spray 11 Mountain 2 Pia Nalaar 1 Scavenger Grounds 4 Scrapheap Scrounger 4 Soul-Scar Mage 4 Spire of Industry 4 Unlicensed Disintegration 3 Walking Ballista"
"4 Aether Hub 1 Arguel's Blood Fast 4 Blooming Marsh 3 Blossoming Defense 4 Botanical Sanctum 4 Bristling Hydra 2 Cartouche of Ambition 3 Duress 2 Fatal Push 2 Fetid Pools 3 Forest 4 Glint-Sleeve Siphoner 2 Golden Demise 3 Hadana's Climb 2 Hashep Oasis 2 Hinterland Harbor 2 Jadelight Ranger 2 Lifecrafter's Bestiary 4 Llanowar Elves 2 Negate 1 Rishkar, Peema Renegade 1 Swamp 2 Thrashing Brontodon 1 Thrashing Brontodon 1 Verdurous Gearhulk 2 Vraska's Contempt 2 Vraska's Contempt 4 Walking Ballista 4 Winding Constrictor 2 Woodland Cemetery"
"4 Adventurous Impulse 4 Blooming Marsh 3 Blossoming Defense 2 Carnage Tyrant 3 Deathgorge Scavenger 1 Driven/Despair 3 Duress 3 Fatal Push 11 Forest 2 Ghalta, Primal Hunger 2 Hashep Oasis 2 Hour of Glory 2 Hour of Glory 4 Jadelight Ranger 2 Lifecrafter's Bestiary 4 Llanowar Elves 3 Merfolk Branchwalker 1 Naturalize 3 Resilient Khenra 1 Rhonas the Indomitable 2 Rishkar, Peema Renegade 4 Steel Leaf Champion 1 Thrashing Brontodon 1 Thrashing Brontodon 2 Verdurous Gearhulk 1 Vraska, Relic Seeker 4 Woodland Cemetery"
"2 Aethersphere Harvester 1 Authority of the Consuls 4 Benalish Marshal 1 Cast Out 1 Cast Out 4 Concealed Courtyard 4 Dauntless Bodyguard 1 Dusk/Dawn 1 Forsake the Worldly 2 Fragmentize 2 Gideon of the Trials 2 Gideon's Intervention 4 Heart of Kiran 4 History of Benalia 3 Isolated Chapel 10 Plains 2 Pride of Conquerors 2 Scavenger Grounds 4 Scrapheap Scrounger 4 Servo Exhibition 2 Settle the Wreckage 4 Shefet Dunes 2 Sram's Expertise 3 Thopter Arrest 4 Toolcraft Exemplar 2 Walking Ballista"
"4 Abrade 1 Aether Hub 1 Angrath, the Flame-Chained 4 Canyon Slough 2 Chandra's Defeat 2 Chandra, Torch of Defiance 1 Chandra, Torch of Defiance 2 Cinder Barrens 1 Cut/Ribbons 2 Doomfall 4 Dragonskull Summit 3 Duress 2 Fiery Cannonade 1 Glorybringer 1 Glorybringer 4 Goblin Chainwhirler 3 Heart of Kiran 2 Karn, Scion of Urza 2 Magma Spray 1 Magma Spray 11 Mountain 3 Pia Nalaar 2 Rekindling Phoenix 4 Scrapheap Scrounger 3 Soul-Scar Mage 2 Spire of Industry 1 Swamp 3 Unlicensed Disintegration 1 Vraska's Contempt 2 Walking Ballista"
"3 Adventurous Impulse 4 Aether Hub 1 Aethersphere Harvester 4 Blooming Marsh 1 Cast Down 2 Deathgorge Scavenger 4 Duress 1 Fatal Push 1 Fatal Push 7 Forest 4 Glint-Sleeve Siphoner 2 Ifnir Deadlands 4 Jadelight Ranger 2 Lifecrafter's Bestiary 1 Liliana, Death's Majesty 4 Llanowar Elves 3 Ravenous Chupacabra 2 Rishkar, Peema Renegade 2 Swamp 1 Thrashing Brontodon 3 Thrashing Brontodon 3 Verdurous Gearhulk 2 Vraska's Contempt 1 Vraska, Relic Seeker 1 Vraska, Relic Seeker 4 Walking Ballista 4 Winding Constrictor 4 Woodland Cemetery"
"3 Authority of the Consuls 2 Blink of an Eye 2 Commit/Memory 1 Field of Ruin 2 Forsake the Worldly 2 Fumigate 4 Glacial Fortress 4 History of Benalia 4 Irrigated Farmland 8 Island 2 Jace's Defeat 3 Lyra Dawnbringer 2 Memorial to Genius 4 Merfolk Trickster 3 Negate 7 Plains 3 Raff Capashen, Ship's Mage 4 Seal Away 2 Settle the Wreckage 1 Settle the Wreckage 2 Teferi, Hero of Dominaria 2 Teferi, Hero of Dominaria 2 Torrential Gearhulk 2 Walking Ballista 4 Wizard's Retort"
"3 Authority of the Consuls 2 Blink of an Eye 2 Cast Out 2 Commit/Memory 4 Disallow 2 Essence Scatter 3 Field of Ruin 2 Forsake the Worldly 2 Fumigate 2 Gideon of the Trials 4 Glacial Fortress 4 Glimmer of Genius 4 Irrigated Farmland 7 Island 3 Lyra Dawnbringer 4 Negate 1 Nezahal, Primal Tide 7 Plains 4 Seal Away 2 Search for Azcanta 4 Settle the Wreckage 3 Teferi, Hero of Dominaria 4 Torrential Gearhulk"
"1 Arguel's Blood Fast 1 Blink of an Eye 1 Cast Out 4 Disallow 3 Doomfall 4 Drowned Catacomb 4 Duress 3 Evolving Wilds 4 Fatal Push 2 Fetid Pools 1 Field of Ruin 2 Fumigate 4 Glacial Fortress 4 Glimmer of Genius 2 Irrigated Farmland 3 Island 4 Isolated Chapel 1 Karn, Scion of Urza 2 Lyra Dawnbringer 3 Negate 1 Plains 3 Seal Away 1 Search for Azcanta 2 Settle the Wreckage 1 Supreme Will 2 Swamp 2 Syncopate 3 Teferi, Hero of Dominaria 2 The Scarab God 3 Torrential Gearhulk 2 Vraska's Contempt"
"4 Aether Hub 4 Blooming Marsh 2 Blossoming Defense 4 Botanical Sanctum 2 Carnage Tyrant 3 Fatal Push 1 Fatal Push 2 Fetid Pools 3 Forest 4 Glint-Sleeve Siphoner 3 Hadana's Climb 1 Island 3 Jadelight Ranger 2 Karn, Scion of Urza 3 Llanowar Elves 1 Memorial to Folly 2 Memorial to Unity 4 Negate 3 Rishkar, Peema Renegade 3 Swamp 3 Thrashing Brontodon 3 Verdurous Gearhulk 2 Vraska's Contempt 2 Vraska's Contempt 2 Vraska, Relic Seeker 1 Vraska, Relic Seeker 4 Walking Ballista 4 Winding Constrictor"
"3 Abrade 1 Arguel's Blood Fast 3 Authority of the Consuls 4 Canyon Slough 2 Cast Out 1 Cast Out 2 Chandra's Defeat 2 Chandra, Torch of Defiance 4 Concealed Courtyard 2 Dragonskull Summit 3 Duress 2 Hazoret the Fervent 4 Heart of Kiran 1 Huatli, Warrior Poet 4 Inspiring Vantage 2 Isolated Chapel 4 Mountain 2 Pia Nalaar 4 Plains 2 Profane Procession 4 Relentless Raptor 4 Scrapheap Scrounger 2 Settle the Wreckage 2 Siege-Gang Commander 4 Toolcraft Exemplar 4 Unlicensed Disintegration 3 Walking Ballista"
"3 Baral, Chief of Compliance 3 Cast Out 1 Ceremonious Rejection 1 Commit/Memory 4 Disallow 2 Essence Scatter 2 Field of Ruin 2 Fumigate 2 Gideon of the Trials 4 Glacial Fortress 2 Hieroglyphic Illumination 2 Invoke the Divine 2 Ipnu Rivulet 4 Irrigated Farmland 6 Island 2 Lyra Dawnbringer 1 Meandering River 1 Negate 2 Negate 6 Plains 3 Pull from Tomorrow 2 Scavenger Grounds 4 Seal Away 2 Search for Azcanta 3 Settle the Wreckage 1 Silent Gravestone 1 Slaughter Games 1 Sorcerous Spyglass 3 Syncopate 3 Teferi, Hero of Dominaria"
"4 Aether Hub 1 Arguel's Blood Fast 4 Blooming Marsh 3 Botanical Sanctum 1 Carnage Tyrant 3 Carnage Tyrant 1 Confiscation Coup 2 Duress 3 Fatal Push 1 Fatal Push 3 Fetid Pools 5 Forest 4 Glint-Sleeve Siphoner 1 Memorial to Unity 1 Moment of Craving 2 Negate 2 Nissa, Steward of Elements 2 Rishkar, Peema Renegade 4 Servant of the Conduit 1 Sorcerous Spyglass 5 Swamp 2 The Scarab God 2 Thrashing Brontodon 3 Verdurous Gearhulk 4 Vraska's Contempt 2 Vraska, Relic Seeker 4 Walking Ballista 4 Winding Constrictor"
"2 Aethersphere Harvester 1 Aethersphere Harvester 2 Arguel's Blood Fast 1 Cast Out 4 Concealed Courtyard 2 Doomfall 3 Duress 2 Fatal Push 2 Fragmentize 1 Fumigate 1 Gideon of the Trials 4 Heart of Kiran 4 History of Benalia 3 Ifnir Deadlands 4 Isolated Chapel 1 Ixalan's Binding 2 Karn, Scion of Urza 4 Knight of Malice 1 Liliana of the Veil 2 Lyra Dawnbringer 9 Plains 1 Scavenger Grounds 4 Scrapheap Scrounger 3 Seal Away 2 Settle the Wreckage 1 Shefet Dunes 3 Swamp 4 Toolcraft Exemplar 2 Walking Ballista"
"1 Aethersphere Harvester 1 Arguel's Blood Fast 2 Cast Out 4 Concealed Courtyard 1 Doomfall 4 Duress 3 Fatal Push 1 Fatal Push 1 Forsaken Sanctuary 2 Fragmentize 3 Fumigate 2 Gideon of the Trials 1 Grind/Dust 4 Heart of Kiran 4 History of Benalia 2 Ifnir Deadlands 4 Isolated Chapel 3 Karn, Scion of Urza 3 Knight of Malice 2 Lyra Dawnbringer 9 Plains 1 Scavenger Grounds 4 Scrapheap Scrounger 2 Settle the Wreckage 1 Shefet Dunes 3 Swamp 1 Thopter Arrest 4 Toolcraft Exemplar 2 Walking Ballista"
"4 Adventurous Impulse 4 Aether Hub 2 Aethersphere Harvester 4 Blooming Marsh 1 Cast Down 2 Deathgorge Scavenger 4 Duress 2 Fatal Push 1 Fatal Push 7 Forest 4 Glint-Sleeve Siphoner 2 Ifnir Deadlands 4 Jadelight Ranger 2 Lifecrafter's Bestiary 4 Llanowar Elves 3 Ravenous Chupacabra 1 Rishkar, Peema Renegade 2 Swamp 2 Thrashing Brontodon 2 Thrashing Brontodon 3 Verdurous Gearhulk 2 Vraska's Contempt 1 Vraska, Relic Seeker 4 Walking Ballista 4 Winding Constrictor 4 Woodland Cemetery"
"1 Angel of Sanctions 1 Arguel's Blood Fast 3 Cast Out 4 Concealed Courtyard 2 Doomfall 4 Duress 4 Fatal Push 2 Fumigate 2 Gideon of the Trials 4 Heart of Kiran 4 History of Benalia 3 Ifnir Deadlands 2 Invoke the Divine 4 Isolated Chapel 3 Karn, Scion of Urza 3 Knight of Malice 2 Lyra Dawnbringer 9 Plains 2 Ravenous Chupacabra 4 Scrapheap Scrounger 1 Settle the Wreckage 1 Shefet Dunes 3 Swamp 4 Toolcraft Exemplar 3 Walking Ballista"
"4 Angel of Invention 3 Angel of Sanctions 2 Authority of the Consuls 1 Cast Out 4 Champion of Wits 3 Chart a Course 1 Disallow 2 Fumigate 1 Fumigate 4 Glacial Fortress 4 God-Pharaoh's Gift 2 Ipnu Rivulet 4 Irrigated Farmland 7 Island 1 Ixalan's Binding 1 Ixalan's Binding 1 Jace's Defeat 4 Minister of Inquiries 3 Negate 7 Plains 4 Refurbish 2 Sacred Cat 1 Search for Azcanta 1 Search for Azcanta 2 Settle the Wreckage 4 Strategic Planning 2 Thopter Arrest"
"3 Abrade 1 Angrath, the Flame-Chained 1 Arguel's Blood Fast 4 Bomat Courier 4 Canyon Slough 1 Chandra's Defeat 2 Chandra, Torch of Defiance 2 Cut/Ribbons 1 Dire Fleet Daredevil 4 Dragonskull Summit 2 Glorybringer 4 Goblin Chainwhirler 3 Heart of Kiran 2 Heartless Pillage 2 Hour of Devastation 2 Karn, Scion of Urza 1 Liliana, Death's Majesty 11 Mountain 2 Pia Nalaar 2 Rekindling Phoenix 4 Scrapheap Scrounger 2 Siege-Gang Commander 2 Soul-Scar Mage 4 Spire of Industry 1 Swamp 1 Treasure Map 4 Unlicensed Disintegration 1 Vraska's Contempt 2 Walking Ballista"
"3 Abrade 1 Abrade 1 Aether Hub 2 Aethersphere Harvester 1 Angrath, the Flame-Chained 4 Bomat Courier 4 Canyon Slough 2 Chandra's Defeat 2 Chandra, Torch of Defiance 1 Chandra, Torch of Defiance 1 Cut/Ribbons 3 Doomfall 4 Dragonskull Summit 3 Glorybringer 4 Goblin Chainwhirler 3 Heart of Kiran 2 Karn, Scion of Urza 1 Karn, Scion of Urza 2 Magma Spray 11 Mountain 1 Mountain 2 Pia Nalaar 4 Scrapheap Scrounger 3 Soul-Scar Mage 4 Spire of Industry 4 Unlicensed Disintegration 2 Walking Ballista"
"3 Abrade 1 Abrade 1 Aether Hub 1 Aethersphere Harvester 4 Bomat Courier 4 Canyon Slough 1 Chandra's Defeat 2 Chandra, Torch of Defiance 2 Chandra, Torch of Defiance 1 Cut/Ribbons 2 Doomfall 4 Dragonskull Summit 2 Duress 1 Glorybringer 2 Glorybringer 4 Goblin Chainwhirler 3 Heart of Kiran 1 Hour of Glory 2 Karn, Scion of Urza 11 Mountain 1 Mountain 2 Pia Nalaar 4 Scrapheap Scrounger 3 Soul-Scar Mage 4 Spire of Industry 1 The Eldest Reborn 1 Treasure Map 4 Unlicensed Disintegration 3 Walking Ballista"
